š;X;X
špalirski;-a -o;prid.
špampet;-a;m
špan;špana;m
špana;-e;ž
španati;-am;in
špancirati;-am;nedov.
španec;-nca;m
španga;-e;ž
španjel;-a;m
španjelka;-e;ž
španjolec;-lca;m
španjolski;-a -o;prid.
španka;-e;ž
španovija;-e;ž
španska;-e;ž
španski;-a -o;prid.
španšèina;-e;ž
špar;-a;m
šparati;-am;nedov.
špargelj;-glja;m
špargljev;-a -o;prid.
špargljišèe;-a;s
šparon;-a;m
šparovèek;-èka;m
šparovec;-vca;m
šparoven;-vna -o;prid.
špartanski;;tudi
špartanstvo;;tudi
špas;-a;m
špasati se;-am se;nedov.
špasen;-sna -o;prid.
špec;špeca;m
špeca;-e;ž
špecar;-ja;m
špecarka;-e;ž
špecati;-am;nedov.
špecerija;-e;ž
špecerijski;-a -o;prid.
špecerist;-a;m
špecialen;ipd.;gl.
špeckahla;-e;ž
špedicija;;tudi
špedicijski;;tudi
špediter;;tudi
špediterski;;tudi
špegati;-am;nedov.
špeglar;-ja;m
špegli;-ov;m mn.
špeh;špeha;m
špehaè;-a;m
špehar;;tudi
špehast;-a -o;prid.
špehat;-ata -o;prid.
špehek;-hka;m
špehovka;-e;ž
špektakel;ipd.;gl.
špekulacija;-e;ž
špekulacijski;-a -o;prid.
špekulant;;in
špekulantski;-a -o;prid.
špekulantstvo;-a;s
špekulativen;-vna -o;prid.
špekuliranje;-a;s
špekulirati;-am;nedov.
špelunka;-e;ž
špendati;-am;dov. in nedov.
špendirati;-am;dov. in nedov.
šperovec;;gl.
špetir;-a;m
špetirati se;-am se;nedov.
špic;-a;m
špicelj;-clja;m
špièak;-a;m
špièast;-a -o;prid.
špièenje;-a;s
špièiti;-im;nedov.
špièka;-e;ž
špièmoh;-a;m
špijon;-a;m
špijonaža;-e;ž
špijonažen;-žna -o;prid.
špijonèek;-èka;m
špijonažen;-žna -o;prid.
špijonèek;-èka;m
špijonirati;-am;nedov.
špijonka;-e;ž
špijonski;-a -o;prid.
špik;-a;m
špikati;-am;nedov.
špiker;ipd.;gl.
špikniti;-em;dov.
špila;-e;ž
špilati;-am;nedov.
špiliti;-im;nedov.
špilja;-e;ž
špinaèa;-e;ž
špinaèen;-èna -o;prid.
špinaènica;-e;ž
špincelj;-clja;m
špinel;;gl.
špinet;;gl.
špirala;ipd.;gl.
špirit;-a;m
špiriten;-tna -o;prid.
špiritov;-a -o;prid.
špiritovka;-e;ž
špirituoza;;gl.
špirovec;;in
špisar;-ja;m
špital;-a;m
špitalar;-ja;m
špitalski;-a -o;prid.
špiža;-e;ž
špogati;-am;dov. in nedov.
šport;-a;m
športen;-tna -o;prid.
športnica;-e;ž
športnik;-a;m
športniški;-a -o;prid.
športno...;;prvi del zloženk
špotati;-am;nedov.
špraha;-e;ž
špranja;-e;ž
špranjast;-a -o;prid.
špranjica;-e;ž
špricanje;-a;s
špricar;-ja;m
špricati;-am;nedov.
špricniti;-em;dov.
šprikla;-e;ž
špringer;;neskl. pril.
šprint;ipd.;gl.
špula;-e;ž
šrafirati;-am;nedov. in dov.
šramel;-mla;m
šranga;-e;ž
šranganje;-a;s
šrangar;-ja;m
šrangati;-am;dov. in nedov.
šrapnel;-a;m
šrapnelski;-a -o;prid.
šravfati;-am;nedov.
šribar;-ja;m
šrot;-a;m
št;;medm.
štab;-a;m
štaben;-bna -o;prid.
štabovec;-vca;m
štacuna;-e;ž
štacunar;;tudi
štacunarka;;tudi
štacunarski;;tudi
štacunarstvo;;tudi
štacunica;-e;ž
štacunski;-a -o;prid.
štacunica;-e;ž
štacunski;-a -o;prid.
štadij;;gl.
štadion;ipd.;gl.
štafaža;-e;ž
štafažen;-žna -o;prid.
štafeta;-e;ž
štafeten;-tna -o;prid.
štajercijanec;-nca;m
štajercijanski;-a -o;prid.
štajercijanstvo;-a;s
štajerec;-rca;m
štajeriš;-a;m
štajerka;-e;ž
štajerski;-a -o;prid.
štajeršèina;-e;ž
štakora;-e;ž
štala;-e;ž
štalica;-e;ž
štalinka;-e;ž
štampiljka;-e;ž
štamprl;-a;m
štanca;-e;ž
štancanje;-a;s
štancar;-ja;m
štancati;-am;nedov.
štanga;-e;ž
štant;štanta;m
štantar;-ja;m
štapa;-e;ž
štart;ipd.;gl.
štatljiv;-a -o;prid.
štatut;ipd.;gl.
štedilnik;-a;m
štediti;-im;nedov.
štedljiv;-a -o;prid.
štedljivost;-i;ž
štednja;-e;ž
štefan;-a;m
štefanji;-a -e;prid.
štefanovo;-ega;s
šteflet;-a;m
štefnjati;-am;nedov.
štehvanje;-a;s
štehvati;-am;nedov.
štehvovec;-vca;m
štekanje;-a;s
štehvati;-am;nedov.
štehvovec;-vca;m
štekanje;-a;s
štekelj;-klja;m
štekljaè;-a;m
štekljaèa;-e;ž
štekljaèar;-ja;m
štekljati;-am;nedov.
štemati;-am;nedov.
štempelj;-plja;m
štempihar;-ja;m
štempljati;-am;dov. in nedov.
štenga;-e;ž
štenkariti;-im;nedov.
štepa;-e;ž
štepati;-am;nedov.
štepih;-iha;m
štera;-e;ž
šterling;-a;m
šterlinški;-a -o;prid.
šterna;;tudi
šternica;;tudi
štetev;-tve;ž
šteti;štejem;nedov.
štetinec;-nca;m
štetje;-a;s
števèen;-èna -o;prid.
števec;-vca;m
števen;-vna -o;prid.
številce;-a;s
številèen;-èna -o;prid.
številèenje;-a;s
številèiti;-im;nedov.
številènica;-e;ž
številènik;-a;m
številènost;-i;ž
številen;-lna -o;prid.
številiti;-im;nedov.
številjenje;-a;s
številka;-e;ž
številkar;-ja;m
številkica;-e;ž
številnica;-e;ž
številnik;-a;m
številnost;-i;ž
število;-a;s
številski;-a -o;prid.
števnik;-a;m
števnik;-a;m
števnina;-e;ž
števniški;-a -o;prid.
števnost;-i;ž
štibal;-a;m
štibala;-e;ž
štibelc;-a;m
štibla;-e;ž
štibra;-e;ž
štifta;-e;ž
štiftar;-ja;m
štiftarstvo;-a;s
štih;štiha;m
štiharica;-e;ž
štihati;-am;nedov.
štija;;medm.
štikati;-am;nedov.
štilarica;;tudi
štima;-e;ž
štimanost;-i;ž
štimati;-am;nedov.
štimati;-am;nedov.
štimunga;-e;ž
štipendij;-a;m
štipendij;-a;m
štipendija;-e;ž
štipendijski;;in
štipendiranje;-a;s
štipendirati;-am;nedov. in dov.
štipendist;-a;m
štipendistka;-e;ž
štipenditor;-ja;m
štirak;-a;m
štiri...;;ali
štiri;;gl.
štirica;-e;ž
štiricilindrski;-a -o;prid.
štirièetrtinski;-a -o;prid.
štirièlanski;-a -o;prid.
štiridejanka;-e;ž
štiridelen;-lna -o;prid.
štirideset;-ih;štev.
štiridesetdanski;-a -o;prid.
štiridesetdneven;-vna -o;prid.
štirideseti;-a -o;štev.
štiridesetleten;-tna -o;prid.
štiridesetletnica;-e;ž
štiridesetletnik;-a;m
štiridimenzionalen;-lna -o;prid.
štiridoben;-bna -o;prid.
štiriglasen;-sna -o;prid.
štiriglasje;-a;s
štiriindvajset;-ih;štev.
štiriindvajseti;-a -o;štev.
štirikanalen;-lna -o;prid.
štirikapen;-pna -o;prid.
štirikapnica;-e;ž
štirikolesen;-sna -o;prid.
štirikolesnik;-a;m
štirikot;-a;m
štirikoten;-tna -o;prid.
štirikotnik;-a;m
štirikrak;;in
štirikrat;;prisl.
štirikraten;;tudi
štirikrilen;-lna -o;prid.
štirileten;-tna -o;prid.
štiriletka;-e;ž
štirilisten;-tna -o;prid.
štirimesten;-tna -o;prid.
štirimotoren;-rna -o;prid.
štirimotornik;-a;m
štirinadstropen;-pna -o;prid.
štirinadstropnica;-e;ž
štirinajst;;in
štirinajstdneven;;in
štirinajstdnevnik;;in
štirinajsterak;-a;m
štirinajsti;;in
štirinajstleten;;in
štirinajstletnica;;in
štirinajstletnik;;in
štirinajststo;;in
štirinog;-a -o;prid.
štirinogat;-ata -o;prid.
štirinožec;-žca;m
štirinožen;-žna -o;prid.
štiriodstoten;-tna -o;prid.
štiriogelnik;-a;m
štirioglat;-ata -o;prid.
štiriosen;-sna -o;prid.
štiriosminski;-a -o;prid.
štiripasoven;-vna -o;prid.
štiripasovnica;-e;ž
štiriperesen;-sna -o;prid.
štirirazreden;-dna -o;prid.
štirirazrednica;-e;ž
štirirazsežen;-žna -o;prid.
štirirob;-a -o;prid.
štiriroben;-bna -o;prid.
štiriroèen;;in
štirirogeljn;;in
štirised;;in
štirisedežen;-žna -o;prid.
štirisleden;-dna -o;prid.
štirisoben;-bna -o;prid.
štiristezen;-zna -o;prid.
štiristo;;štev. neskl.
štiristoletnica;-e;ž
štiristop;-opa;m
štiristopen;-pna -o;prid.
štiristopenjski;-a -o;prid.
štiristopièen;-èna -o;prid.
štiristran;;in
štiristranièen;-èna -o;prid.
štiristranski;-a -o;prid.
štiriški;-a -o;prid.
štirišteven;-vna -o;prid.
štirištevilèen;-èna -o;prid.
štiritakten;-tna -o;prid.
štiritisoèak;-a;m
štiritonski;-a -o;prid.
štiriuren;-rna -o;prid.
štirivalenten;-tna -o;prid.
štirivaljen;-jna -o;prid.
štirivoglat;-ata -o;prid.
štirivprega;-e;ž
štirivprežen;-žna -o;prid.
štirivrsten;-tna -o;prid.
štirivrstièen;-èna -o;prid.
štirivrstiènica;-e;ž
štirivrstnik;-a;m
štirižilen;-lna -o;prid.
štirjak;-a;m
štirjaški;-a -o;prid.
štirje;štiri -i;štev.
štirkati;-am;nedov.
štirna;ipd.;gl.
štober;-bra;m
štof;-a;m
štofast;-a -o;prid.
štok;štoka;m
štokati;-am;nedov.
štokavec;-vca;m
štokavski;-a -o;prid.
štokavšèina;-e;ž
štokniti;-em;dov.
štokavšèina;-e;ž
štokniti;-em;dov.
štola;-e;ž
štolnina;-e;ž
štoparica;;tudi
štopati;-am;tudi
štor;-a;tudi
štorast;-a -o;prid.
štorati;-am;nedov.
štorèek;-èka;m
štorija;-e;ž
štorja;-e;ž
štorjica;-e;ž
štorklja;-e;ž
štorkljaè;-a;m
štorkljanje;-a;s
štorkljast;-a -o;prid.
štorkljati;-am;nedov.
štorkljav;-ava -o;prid.
štorkljež;-a;m
štorkljin;-a -o;prid.
štorovec;-vca;m
štorovina;-e;ž
štorovje;;tudi
štorovje;;tudi
štorovka;-e;ž
štos;-a;m
štoser;-ja;m
štradon;-a;m
štrajk;-a;m
štrajkar;-ja;m
štrajkati;-am;nedov.
štrajkoven;-vna -o;prid.
štrama;-e;ž
štramast;-a -o;prid.
štramati;-am;nedov.
štramlje;-eta;m
štranga;-e;ž
štrapac;-a;m
štrapacen;-cna -o;prid.
štrapacirati;-am;nedov.
štravba;-e;ž
štrboncelj;-clja;tudi
štrbunk;-a;m
štrbunk;;in
štrbunkati;-am;nedov.
štrbunkniti;-em;dov.
štrc;-a;m
štrcati;-am;nedov.
štrcelj;-clja;m
štrcljast;-a -o;prid.
štrcniti;-em;dov.
štrènica;-e;ž
štrebar;-ja;m
štremelj;-mlja;m
štrena;-e;ž
štrenast;-a -o;prid.
štrencati;-am;nedov.
štrenica;-e;ž
štrgljati;-am;nedov.
štriga;-e;ž
štrigelj;-glja;m
štrigljati;-am;nedov.
štrihan;-a -o;prid.
štrihati;-am;nedov.
štrik;štrika;m
štrikati;-am;nedov.
štrk;-a;m
štrk;;medm.
štrkati;-am;nedov.
štrkavec;-vca;m
štrkelj;-klja;m
štrkljati;-am;nedov.
štrkniti;-em;dov.
štrleti;-im;nedov.
štrlina;-e;ž
štropot;-ota;m
štropotanje;-a;s
štropotati;-am;tudi
štropotniti;-em;dov.
štrtinjak;-a;m
štruca;-e;ž
štrucarica;-e;ž
štruèica;-e;ž
štruèka;-e;ž
štruènica;-e;ž
štrudelj;-dlja;tudi
štrukelj;-klja;m
štrukeljc;-a;m
štrukeljèek;-èka;m
štrukljevka;-e;ž
štruks;-a;m
štubak;-a;m
štuc;-a;m
študent;-enta;in
študentarija;-e;ž
študentek;;in
študentka;;in
študentka;;in
študentovanje;-a;s
študentovati;-ujem;nedov.
študentovski;;in
študentovstvo;;in
študentski;;in
študij;-a;m
študija;-e;ž
študije;-dij;ž mn.
študijski;-a -o;prid.
študio;ipd.;gl.
študiranec;-nca;m
študiranje;-a;s
študirati;-am;nedov.
štuk;-a;m
štuk;štuka;m
štuka;-e;ž
štukast;-a -o;prid.
štukater;-ja;m
štukatura;-e;ž
štukaturen;-rna -o;prid.
štukaturnik;-a;m
štukirati;-am;nedov. in dov.
štula;-e;ž
štula;-e;ž
štulast;-a -o;prid.
štulež;-a;m
štuliti;-im;nedov.
štupa;-e;ž
štupati;-am;nedov.
štuporamo;;prisl.
šturmbataljon;-a;m
šubara;-e;ž
šuft;-a;m
šuko;;prid. neskl.
šulferajnski;-a -o;prid.
šum;-a;m
šuma;-e;ž
šumastiti;-im;nedov.
šumeè;-eèa -e;prid.
šumen;-mna -o;prid.
šumenje;-a;s
šumeti;-im;nedov.
šumevec;;in
šumljanje;-a;s
šumljati;-am;nedov.
šumljav;-ava -o;prid.
šumnik;-a;m
šumnik;-a;m
šumnost;-i;ž
šumot;-ota;m
šumotanje;-a;s
šumotati;-am;tudi
šumoten;-tna -o;prid.
šumotljati;-am;nedov.
šund;-a;m
šunder;-dra;m
šunka;-e;ž
šunkarica;-e;ž
šunkin;-a -o;prid.
šuntar;-ja;m
šuntati;-am;nedov.
šup;-a;m
šupa;-e;ž
šupelj;-plja -e;prid.
šupljina;-e;ž
šus;-a;m
šusteti;-im;nedov.
šušlja;-e;ž
šušljanje;-a;s
šušljati;-am;nedov.
šušmar;-ja;m
šušljati;-am;nedov.
šušmar;-ja;m
šušmariti;-im;nedov.
šušmarjenje;-a;s
šušmarka;-e;ž
šušmarski;-a -o;prid.
šušmarstvo;-a;s
šušnjati;-am;nedov.
šuštar;-ja;m
šuštarski;-a -o;prid.
šuštenje;-a;s
šušteti;-im;nedov.
šuta;-e;ž
šutast;-a -o;prid.
švab;-a;m
švabarija;-e;ž
švabobranec;-nca;m
švabobranski;-a -o;prid.
švabski;-a -o;prid.
švabšèina;-e;ž
švadron;-a;m
švadroner;-ja;m
švadronirati;-am;nedov.
švapanje;-a;s
švapati;-am;nedov.
šveder;-dra;m
švedra;-e;ž
švedrast;-a -o;prid.
švedrati;-am;nedov.
švedrav;-ava -o;prid.
švedski;-a -o;prid.
švedšèina;-e;ž
švejkovski;-a -o;prid.
švejkovstvo;-a;s
šverc;;in
švercar;-ja;m
švercati;-am;nedov.
švicar;-ja;m
švicarski;-a -o;prid.
šviganje;-a;s
švigašvaga;-e;in
švigašvaga;-e;ž
šviga švaga;;prisl.
švigati;-am;nedov.
švigav;-ava -o;in
švigelj;-glja;m
šviglja;-e;ž
švigljast;-a -o;prid.
švigljati;-am;nedov.
švigniti;-em;dov.
švindel;-dla;m
švisniti;-em;dov.
švist;-a;m
švist;;medm.
švistanje;-a;s
švistati;-am;nedov.
švistenje;-a;s
švisteti;-im;nedov.
švistniti;-em;dov.
švrckati;-am;nedov.
švrcniti;-em;dov.
švrk;-a;m
švrk;;medm.
švrkanje;-a;s
švrkati;-am;nedov.
švrkec;-kca;m
švrkniti;-em;dov.
