š;X;X
šèrleti;-im;nedov.
šèuka;-e;ž
šèukast;-a -o;prid.
šèukec;-kca;m
šèukica;-e;ž
šèurek;-rka;m
šèurkast;-a -o;prid.
šèurkast;-a -o;prid.
šèurkov;-a -o;prid.
šèuvaè;-a;m
šèuvalec;-lca;m
šèuvalen;-lna -o;prid.
šèuvanje;;tudi
šèuvati;-am;tudi
še;;prisl.
šebenik;;tudi
šeboj;-a;m
šed;-a;m
šedast;-a -o;prid.
šefica;-e;ž
šefinja;-e;ž
šefovanje;-a;s
šefovski;-a -o;prid.
šefovstvo;-a;s
šega;;in
šegav;-ava -o;prid.
šegavec;-vca;m
šegavost;-i;ž
šeh;-a;m
šejek;-jka;m
šeh;-a;m
šejek;-jka;m
šejk;-a;m
šejk;;in
šejkat;-a;m
šejtan;;in
šek;;tudi
šek;;medm.
šeka;;tudi
šekast;;tudi
šekec;;tudi
šekel;-kla;m
šekljati;-am;nedov.
šelak;-a;m
šelakov;-a -o;prid.
šele;;tudi
šeleshamer;-ja;m
šelest;-esta;tudi
šelestenje;-a;s
šelesteti;-im;nedov.
šelestniti;-em;dov.
šelf;-a;m
šelfen;-fna -o;prid.
šema;-e;ž
šemarija;-e;ž
šemariti;-im;nedov.
šemast;-a -o;prid.
šematizem;-zma;m
šember;;medm.
šembilja;-e;ž
šembiljski;-a -o;prid.
šembraj;-te;medm.
šembran;-a -o;prid.
šemica;-e;ž
šemiti;-im;nedov.
šemljenje;-a;s
šempetrski;;tudi
šemski;-a -o;prid.
šen;šena;m
šenilja;-e;ž
šenk;;in
šenkati;-am;dov.
šent;šenta;in
šentaj;-te;medm.
šentan;-a -o;prid.
šentflorjanski;-a -o;prid.
šentflorjanstvo;-a;s
šentjakobica;-e;ž
šentjanžev;-a -o;prid.
šentjanževec;-vca;m
šentjanževka;-e;ž
šentjanževo;-ega;s
šentjanževski;-a -o;prid.
šentjernejski;-a -o;prid.
šentlovrenka;-e;ž
šentovati;-ujem;nedov.
šentpetrski;;tudi
šepanje;-a;s
šepast;-a -o;prid.
šepati;-am;nedov.
šepav;-a -o;prid.
šepavec;-vca;m
šepavka;-e;ž
šepavost;-i;ž
šepec;-pca;m
šepet;-eta;m
šepetalèev;-a -o;prid.
šepetalec;-lca;m
šepetalen;-lna -o;prid.
šepetalka;-e;ž
šepetalnica;-e;ž
šepetalski;-a -o;prid.
šepetanje;-a;s
šepetati;-am;tudi
šepetav;-ava -o;prid.
šepetniti;-em;dov.
šepetoma;;prisl.
šeping;-a;m
šepniti;-em,;tudi
šepraka;-e;ž
šerbet;;in
šercerjevec;-vca;m
šeriat;-a;m
šeriatski;-a -o;prid.
šerif;-a;m
šerifski;-a -o;prid.
šerje;-a;s
šerpa;-e;tudi
šerpa;-e;ž
šest;šestih;štev.
šest...;;ali
šestak;-a;m
šestceven;-vna -o;prid.
šestcilindrski;-a -o;prid.
šestcolski;-a -o;prid.
šestèlanski;-a -o;prid.
šestdeset;-ih;štev.
šestdeseti;-a -o;štev.
šestdesetina;-e;ž
šestdesetinka;-e;ž
šestdesetleten;-tna -o;prid.
šestdesetletnica;-e;ž
šestdesetletnik;-a;m
šestdneven;-vna -o;prid.
šester;-a -o;štev.
šesterak;-a;m
šesterec;;in
šesterica;-e;ž
šesterka;-e;ž
šesternik;-a;m
šestero;;štev. neskl.
šestero...;;prvi del zloženk
šesteroglasen;-sna -o;prid.
šesterokoten;-tna -o;prid.
šesterokotnik;-a;m
šesterokrak;;in
šesterooglat;-ata -o;prid.
šesterorob;-a -o;prid.
šesterospev;;in
šesterostop;-opa;m
šesterostopen;-pna -o;prid.
šesterostran;;in
šesterostranièen;-èna -o;prid.
šesterovprega;-e;ž
šesterovprežen;-žna -o;prid.
šesti;-a -o;štev.
šestica;-e;ž
šestiè;;prisl.
šestilo;-a;s
šestina;-e;ž
šestiški;-a -o;prid.
šestka;-e;ž
šestkotnik;-a;m
šestkrat;;prisl.
šestleten;-tna -o;prid.
šestmeseèen;-èna -o;prid.
šestmesten;-tna -o;prid.
šestnajst;;in
šestnajsterak;-a;m
šestnajsterka;-e;ž
šestnajsti;;in
šestnajstina;-e;ž
šestnajstinka;-e;ž
šestnajstleten;;in
šestnajstletnica;;in
šestnajstletnik;;in
šestnajstmetrski;;in
šestodstoten;-tna -o;prid.
šestojanuarski;;tudi
šestomer;-a;m
šestorica;-e;ž
šestosminski;-a -o;prid.
šestošolec;-lca;m
šestošolka;-e;ž
šestoviliti;-im;nedov.
šestpasoven;-vna -o;prid.
šestpasovnica;-e;ž
šestrazreden;-dna -o;prid.
šeststezen;-zna -o;prid.
šeststo;;štev. neskl.
šestštevilèen;-èna -o;prid.
šesttedenski;-a -o;prid.
šesttisoèak;-a;m
šesttonski;-a -o;prid.
šestvaljen;-jna -o;prid.
šešk;;medm.
šeškanje;;in
šeškar;;in
šeškati;-am;in
