è;X;X
èelesta;;gl.
èelešnik;-a;m
èelešnjak;-a;m
èelilen;-lna -o;prid.
èelilen;-lna -o;prid.
èelilnik;-a;m
èelist;-a;m
èelistka;-e;ž
èeliti;-im;in
èeljenje;;in
èeljust;-i;ž
èeljustaè;-a;m
èeljustalo;-a;s
èeljustanje;-a;s
èeljustati;-am;nedov.
èeljustav;-ava -o;prid.
èeljusten;-tna -o;prid.
èeljustiti se;-im se;nedov.
èeljustka;-e;ž
èeljustkar;-ja;m
èeljustnica;-e;ž
èeljustnik;-a;m
èelnica;-e;ž
èelnik;-a;m
èelo;-a;m
èelo;-a;s
èelovnik;-a;m
èelo;-a;s
èelovnik;-a;m
èemaž;-a;m
èembalist;-a;m
èembalistka;-e;ž
èembalo;;tudi
èemenje;-a;s
èemer;-a;m
èemer;-a;m
èemeren;;tudi
èemerika;ipd.;gl.
èemeriti se;-im se;tudi
èemeriti;-im;nedov.
èemernež;-a;m
èemernica;-e;ž
èemernost;;tudi
èemeti;-im;nedov.
èemu;;prisl.
èemž;-a;m
èenèa;-e;ž
èenèaè;-a;m
èenèalast;-a -o;prid.
èenèanje;-a;s
èenèarija;-e;ž
èenèariti;-im;nedov.
èenèast;-a -o;prid.
èenèati;-am;nedov.
èenèav;-ava -o;prid.
èenèavost;-i;ž
èenèura;-e;ž
èenda;;medm.
èep;èepa;m
èep;èepa;m
èepar;;in
èepar;-ja;m
èepast;-a -o;prid.
èepec;-pca;m
èepek;-pka;m
èepenje;-a;s
èeperiti se;-im se;nedov.
èepeti;-im;nedov.
èepica;-e;ž
èepièar;-ja;m
èepièast;-a -o;prid.
èepinec;-nca;m
èepinja;ipd.;gl.
èepiti;èepim;in
èepka;-e;ž
èepljec;-a;m
èepljec;-a;m
èepnica;-e;ž
èepnik;-a;m
èepoven;-vna -o;prid.
èeprav;;vez.
èepun;-a;m
èepur;-ja;m
èer;-i;ž
èeravno;;vez.
èeren;-a -o;prid.
èerfa;-e;ž
èerh;èerha;m
èerkeska;-e;ž
èernid;-a;m
èernozjom;-a;m
èerovje;-a;s
èervonec;-nca;m
èesalen;-lna -o;prid.
èesalka;-e;ž
èesalnica;-e;ž
èesalnik;-a;m
èesalo;-a;s
èesanje;-a;s
èesanka;;in
èesati;èešem;nedov.
èesen;-sna;m
èesljati;-am;nedov.
èesmin;-a;m
èesnaè;-a;m
èesnalo;-a;s
èesnanje;-a;s
èesnati;-am;nedov.
èesnik;-a;m
èesniti;-em;in
èesnovka;-e;ž
èest;-a -o;prid.
èestitanje;-a;s
èestitati;-am;dov. in nedov.
èestitka;-e;ž
èestitkar;-ja;m
èestokrat;;prisl.
èeš;;prisl.
èešarek;-rka;m
èešarika;-e;ž
èešèen;-ena -o;prid.
èešèenamarija;-e;in
èešèenasimarija;-e;in
èešèenje;-a;s
èešèina;-e;ž
èešèina;-e;ž
èešelj;-šlja;m
èešerika;-e;ž
èeški;-a -o;prid.
èeškoslovaški;-a -o;prid.
èešljast;-a -o;prid.
èešljati;-am;nedov.
èešljika;-e;ž
èešmilje;-a;s
èešmin;-a;m
èešminje;-a;s
èešminov;-a -o;prid.
èešminovec;-vca;m
èešminovka;-e;ž
èešnja;-e;ž
èešnjev;-a -o;prid.
èešnjevec;-vca;m
èešnjevina;-e;ž
èešnjica;-e;ž
èešpa;-e;ž
èešplja;-e;ž
èešpljev;-a -o;prid.
èešpljevec;-vca;m
èešpljevje;-a;s
èeštvo;-a;s
èešulja;-e;ž
èešuljast;-a -o;prid.
