è;X;X
èudnost;-i;ž
èudo;-a;stil.
èudo;;prisl.
èudoèuden;-dna -o;prid.
èudodelec;-lca;m
èudodelen;-lna -o;prid.
èudodelka;-e;ž
èudodelnik;-a;m
èudodelnost;-i;ž
èudom;;prisl.
èudoma;;prisl.
èudotvorec;-rca;m
èudotvoren;-rna -o;prid.
èudovišèe;-a;s
èudovit;-a -o;prid.
èudovitost;-i;ž
èufati;-am;tudi
èuga;-e;ž
èuha;-e;ž
èuhati;-am;nedov.
èuj;-te;medm.
èuhati;-am;nedov.
èuj;-te;medm.
èujeè;-eèa -e;prid.
èujeèen;-èna -o;prid.
èujeènost;-i;ž
èujen;-jna -o;prid.
èuk;-a;m
èukast;-a -o;prid.
èukati;-am;nedov.
èukec;-kca;m
èukla;-e;ž
èulja;-e;ž
èumeti;-im;nedov.
èumnata;-e;ž
èunka;-e;ž
èupa;-e;ž
èupati;-am;nedov.
èurimuri;-ja;m
èurimuri;;medm.
èurka;-e;ž
èustvece;;in
èustven;-a -o;prid.
èustvenjak;-a;m
èustvenost;-i;ž
èustvo;-a;s
èustvovanje;-a;s
èustvovati;-ujem;nedov.
èuš;-a;m
èut;-a;m
èutara;-e;ž
èutarica;-e;ž
èutenje;;in
èutilen;-lna -o;prid.
èutilo;-a;s
èutiti;;in
èutljiv;-a -o;prid.
èutljivost;-i;ž
èutnica;-e;ž
èutnost;-i;ž
èutnosten;-tna -o;prid.
èuvaj;-a;m
èuvajka;-e;ž
èuvajnica;-e;ž
èuvajnina;-e;ž
èutnost;-i;ž
èutnosten;-tna -o;prid.
èuvaj;-a;m
èuvajka;-e;ž
èuvajnica;-e;ž
èuvajnina;-e;ž
èuvanje;-a;s
èuvar;-ja;m
èuvarica;-e;ž
èuvarka;-e;ž
èuvati;-am;nedov.
èužka;-e;ž
èvek;èveka;in
èveka;;tudi
èvekaè;-a;m
èvekalast;-a -o;prid.
èvekalo;-a;s
èvekanje;-a;s
èvekarija;-e;ž
èvekast;;in
èvekati;-am;nedov.
èvekav;-ava -o;prid.
èvekavost;-i;ž
èveketati;-am;in
èveketati;-am;in
èvekniti;-em;tudi
èvenk;èvenka;in
èvièati;-im;nedov.
èvrèanje;-a;s
èvrèati;-im;nedov.
èvrèkati;-am;in
èvrleti;-im;nedov.
èvrljati;-am;nedov.
èvrst;-a -o;stil.
èvrsteti;-im;nedov.
èvrstina;-e;ž
èvrstiti;-im;nedov.
èvrstost;-i;ž
èvrstota;-e;ž
èvrš;-a;m
èvršast;-a -o;prid.
